지명,평점,상세설명,mapy,mapx,이미지링크,주소,카테고리
Seoullo 7017,4.1,Garden and park,37.5565311,126.9752311,https://t1.gstatic.com/images?q=tbn:ANd9GcRdak2X6VJnV7fq44AT7R2Y93UQdmTYGnuCjkVRoErjHyB1fu4NakByXx85NGf8fsug_LudPQjFwVuBag,"18 Toegye-ro, Namdaemunno 5(o)-ga, Jung-gu, Seoul, South Korea",Outdoors
Mureungdowon Arboretum,4.4,Park,37.504907,126.8161883,https://lh5.googleusercontent.com/-dZ7lu75NX9c/WcMX6dUCB7I/AAAAAAAAAJQ/sCzRt234oxoCICPIT6FJUX20GjqMevS5ACLIBGAYYCw/w464-h260-n-k-no/,"381 Chunui-dong, Wonmi-gu, Bucheon-si, Gyeonggi-do, South Korea",Outdoors
West Seoul Lake Park,4.4,City green space with paths & picnicking,37.527672,126.829852,https://lh4.googleusercontent.com/--eZEIEXvoHQ/WbFILlCSGrI/AAAAAAAAFME/ZGBOtX7OQUUzR-2LciXNBsZMGHuY_Z20wCLIBGAYYCw/w464-h260-n-k-no/,"20 Nambusunhwan-ro 64-gil, Sinwol 3(sam)-dong, Yangcheon-gu, Seoul, South Korea",Outdoors
Woongjin Play Doci,4.0,Indoor skiing & a water park,37.500122,126.7442542,https://lh4.googleusercontent.com/-6tJddBcNK2w/WhJnE1j99uI/AAAAAAABaWk/fNK1kDLPmmUrZDFVsZYxdhCK-RMCIkW4gCLIBGAYYCw/w464-h260-n-k-no/,"South Korea, Gyeonggi-do, Bucheon-si, Wonmi-gu, Jomaru-ro, 2 KR",Outdoors
Deoksugung,4.5,Palace with a Royal Guard ceremony,37.5658049,126.9751461,https://lh6.googleusercontent.com/proxy/y6O4pjuN0rgxx9dR49uIBC3e3Ko9_vP6RH_1pR5mEPatmp0STM35M8atOZEkuuryKvFBeF-537PAu-WMD_QFRjfj87pVT1Od7ljIAscifQOjlJo71bDlWd6FwbUCj9ENsaQGQ0LkKEn1QDvIiMPqGS_EhgctW8YNo05egx9WwKjy=w464-h260-n-k-no,"99 Sejong-daero, Jeong-dong, Jung-gu, Seoul, South Korea",Outdoors History Art&Culture Kind-friendly
Yongsan Family Park,4.5,Park,37.5216852,126.9839703,https://t1.gstatic.com/images?q=tbn:ANd9GcQZZTj74OAXEJZq0ExvvHzIfH9HstePwKC61zNK1-Z2sUn2YKYeSKeuSXMmt_6hWia_L_au1r6LVbyfWA,"185 Seobinggo-ro, Yongsandong 6(yuk)-ga, Yongsan-gu, Seoul, South Korea",Outdoors Kind-friendly
Ihwa Mural Village,4.0,Outdoor network of murals & sculptures,37.5779788,127.0071915,https://t3.gstatic.com/images?q=tbn:ANd9GcTWxE9p3RdQov59gz6iP5a-yXeBYVnrAEHBhcvH8sIT6EsP5IhmTDv2Vog0U_0y01cBin89G9Af3UmORw,"49 Naksan 4-gil, Ihwa-dong, Jongno-gu, Seoul, South Korea",Outdoors Art&Culture
삼청공원,4.4,Park and autumn leaf color,37.5903931,126.9859125,https://lh5.googleusercontent.com/-S245RDLoiog/XTUJLFSWaoI/AAAAAAAAHO4/oazUkowAdV44-2nhlqVnGkvk7Fr1jNH2QCLIBGAYYCw/w464-h260-n-k-no/,"Samcheong-dong, Jongno-gu, Seoul, South Korea",Outdoors
Seodaemun Independence Park,4.4,"Historic ruins, a museum & exhibits",37.5740613,126.9563603,https://t2.gstatic.com/images?q=tbn:ANd9GcS3CeHfGtHKmAGCs2cmRBi-KQyk7kxGemH7D7iB86KK_x5WuPxGXwku_WzX-W0fPBnJX5Nl6Zt2u4bA8A,"247 Tongil-ro, Hyeonjeo-dong, Seodaemun-gu, Seoul, South Korea",Outdoors Kind-friendly
Seoul World Cup Stadium,4.3,Well-known stadium with a mall & cinema,37.5682588,126.8972774,https://lh6.googleusercontent.com/-VeT5NCYb63s/XUp6aAVGsbI/AAAAAAAAMeE/3nEU-msCHTgAH7KLgmalcoB9f2D2QXsnQCLIBGAYYCw/w464-h260-n-k-no/,"240 Woldeukeom-ro, Seongsan 2(i)-dong, Mapo-gu, Seoul, South Korea",Outdoors Art&Culture Kind-friendly
