지명,평점,상세설명,mapx,mapy,이미지링크,주소,카테고리
가락시장,4.0,"시장, 씨푸드 및 쇼핑",127.11791534309206,37.49478331646403,https://lh5.googleusercontent.com/-9qk2Jwvwgqc/XL8KrpxfBxI/AAAAAAAA1sM/ALjEz08dbSoid7NecmzCScb6qgM-e475QCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 송파구 가락동 96-2,한식>전복요리
노량진수산시장,3.8,"씨푸드, 문어목, 시장 및 쇼핑",126.93687035037237,37.51492904283383,https://lh3.googleusercontent.com/proxy/38nzKGXKe2CqNRBxSOtqqqvl55fRc1J7AFwaYwpxIrcTf_KH7LU6JR4gT8rYIiUfJjyp3TW-n_IFWLLdFA8a2d0xfMzOs-UphwDZ6bX6W_3rDf1vfOyduZ2aNW3HoOEc2LIryCIPe-EfRaeLiXaNO4NwD1c=w464-h260-n-k-no,서울특별시 동작구 노량진동 13-6,"쇼핑,유통>시장"
홍대앞예술시장프리마켓,4.0,"시장, 예술 및 쇼핑",126.92333608146996,37.552344035762985,https://lh5.googleusercontent.com/-cfayzqUHzV4/Wf1WKHOxfuI/AAAAAAAARnY/ol0oGGIWNV0WH1H0zLX0YdSn7fyvzStswCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 마포구 서교동 359,"문화,예술>행사"
방산시장,4.0,시장 및 쇼핑,127.0010248529308,37.56887537617228,https://lh4.googleusercontent.com/-D4QmpjUgXNg/XJdr0SMxxCI/AAAAAAABvtk/wLT1gsbrfM4ySecidAFRDxFmh6EWwhcgACLIBGAYYCw/w464-h260-n-k-no/,서울특별시 중구 주교동 251-1,"쇼핑,유통>시장"
통인시장,3.8,시장 및 쇼핑,126.97026301812326,37.58080248826588,https://lh4.googleusercontent.com/-WVyoupCGXuU/V-3zpzdAc-I/AAAAAAACz54/_cXmeCk1WDgsD3026CEaexIlsdxvbOjuwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 종로구 통인동 10-3,"쇼핑,유통>시장"
동진시장,3.8,시장 및 쇼핑,126.92662180307403,37.56235742984623,https://lh3.googleusercontent.com/-XtuIkaCv-C4/V4t8fhNTDJI/AAAAAAAAsyQ/Z8Ioq_ez_KAJGs_Q2-cFyMQ4qJtBCbgbwCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 마포구 연남동 227-15 38,"쇼핑,유통>시장"
방학동도깨비시장,4.2,시장 및 쇼핑,127.03556261699688,37.66543812488036,https://lh6.googleusercontent.com/-B14-sWOjmA0/WInv3MH9ZCI/AAAAAAAAAS8/cQkLIsNIGD4Z9D8xa1g55ymnloEZ0npKwCLIB/w464-h260-n-k-no/,서울특별시 도봉구 방학동 727-6,"쇼핑,유통>시장"
서울 중앙시장,3.8,시장,127.01980074400798,37.567446709054956,https://lh6.googleusercontent.com/-LYUmLKThZ-g/WlTp6ecYwII/AAAAAAAAScQ/VQlOocEbfuAqVMouLS4VlUY0zgu8ePFiACLIBGAYYCw/w464-h260-n-k-no/,서울특별시 중구 황학동 442,"쇼핑,유통>시장"
서울시립미술관,4.1,"미술관, 박물관, 예술 및 근대 미술",126.97380695923064,37.56426317317671,https://lh6.googleusercontent.com/proxy/1S1TwFk2bg2k_AVI6SeHRBF7aX4F9fH0FNcYxdzyz_2sCMcxGk-3fpv5lcbIZOgg1gje0pQXpnL4xnWvBe9MECQEFwql1y2J-kO4qul2NMzgRgaI2_YxwWQUG_vNsCXqJMln88dFWNRsXJZE_fSc5eGB6wM=w464-h260-n-k-no,서울특별시 중구 서소문동 37,"문화,예술>미술관"
삼성미술관 리움,4.4,"박물관, 예술, 건축, 미술관 및 근대 미술",126.99936395238464,37.53812667412837,https://lh5.googleusercontent.com/proxy/fV_PzJB0eEI-ZTNmKGpdn53EqWw1qZWT_ckpjNjC8WUf_O9WkpXgLo6qYmSu6PfyeeMwuyNexMNDqr82iVDfhIX_rHI6jXUw4hGC_nBw8RRE-6TH4cdBav7fp4Z2fASXGAokuT4XjR2h1hbmgD9Jmq88hgQ=w464-h260-n-k-no,서울특별시 용산구 한남동 747-18,"문화,예술>갤러리,화랑"
봉은사,4.5,불교 사찰과 미륵불상,127.0576797841521,37.51498013001419,https://lh5.googleusercontent.com/proxy/MQs6Tl6eqLAzVFmoOmOiyssT5EUJwVz1eqoZTVFCS3OnqPsBHKyeQBhceX-lKS30NrISkkarRb3mt7JCZ3csEgyHnbbGHTkgtS8DDbEjHEFjN0-rT_B0FskKhteli00mYgpGd2tfmqsDycu0rtfizZHMQD8=w464-h260-n-k-no,서울특별시 강남구 삼성동 73,종교>불교
Yeouido,3.8,섬,126.9173448060366,37.52757375924765,https://lh4.googleusercontent.com/proxy/C2z6dQ8ukGwzyXzBJG6eULsYTdPFUsXl9MiXpMXUi5IW1QxDqv5n8RRuHcXRpzQy0c8I9kWPUwb7DUzXrtzTlIjd_OggPC0ZS_uxozMWcg2PSqDdB3f3tgTw9X2z8IZR1uuOxHFjISRlZJcxdWt_719LuPY=w464-h260-n-k-no,서울특별시 영등포구 여의도동 17-5,숙박>호텔
청계천,4.2,복원된 개울이 있는 도시 공원 공간,127.005666313194,37.5697074254838,https://lh3.googleusercontent.com/-m56xI-rKa5M/XcLlFkKbokI/AAAAAAACfNU/WPyIc5K7BBU0mAU8-LfNzHRQggrdwLRQQCLIBGAYYCw/w464-h260-n-k-no/,서울특별시 종로구 창신동,"여행,명소>강,하천"
